state,state_code,bill_id,bill_url,title,author,author_partisanship,topics,status,date_of_last_action,introduced_year_month,summary,history,text_len,word_count,definition_found,definition,PHCI,UR,BPPRIV,NAICS54_tech_employment,bill_year,state_partisanship
Arkansas,AR,AR H    1726,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1726&ciq=urn:user:PA196471263&client_md=df3ab21d752abafb8dbd46160de01321&mode=current_text,Arkansas Kids Online Safety Act,Gramlich (R),Republican,Private Sector Use,Failed - Died,45729,2025-03,"Creates the Arkansas Kids Online Safety Act, provides that a covered platform shall take reasonable measures in the design and operation of any product, service, or feature that the covered platform knows is used by minors to avoid any heightened risk of harm to minors caused by such product, service, or feature, including without limitation the mental health disorders, consistent with evidence-informed medical information.","03/10/2025 - INTRODUCED.
03/10/2025 - To HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS.
03/12/2025 - From HOUSE Committee on AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS:  Do pass as amended.
03/13/2025 - Committee amendment adopted on HOUSE floor.
03/17/2025 - Passed HOUSE.  *****To SENATE.
03/17/2025 - To SENATE Committee on JUDICIARY.
05/05/2025 - Died in Senate Committee at Sine Die adjournment.",35597,5562,FALSE,NA,147.03,3.7,1675,53.5,2025,Republican
Arkansas,AR,AR H    1816,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1816&ciq=urn:user:PA196471263&client_md=b852b9c72aa3cf89a568ea962bda2fd2&mode=current_text,Healthcare Providers,Johnson (R),Republican,Health Use,Failed - Adjourned - Withdrawn,45733,2025-03,Prohibits healthcare providers and healthcare insurers from using artificial intelligence in the delivery of healthcare services or the generation of medical records unless certain requirements are met.,"03/17/2025 - INTRODUCED.
03/17/2025 - To HOUSE Committee on PUBLIC HEALTH, WELFARE AND LABOR.
04/14/2025 - WITHDRAWN by Author.",3061,459,TRUE,"a machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations, or decisions influencing real or virtual environments;",147.03,3.7,1675,53.5,2025,Republican
Arkansas,AR,AR H    1823,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1823&ciq=urn:user:PA196471263&client_md=0b3af5a112bcf881efca9e7bf89c4b8e&mode=current_text,Disrupt Explicit Forged Images and Nonconsensual Edits,Duffield (R),Republican,"Child Pornography, Criminal Use, Private Right of Action",Failed - Died,45734,2025-03,"Establishes the disrupt explicit forged images and nonconsensual edits act of 2025, clarifies the rights for an individual affected by nonconsensual activities involving intimate digital forgeries.","03/18/2025 - INTRODUCED.
03/18/2025 - To HOUSE Committee on JUDICIARY.
05/05/2025 - Died in House Committee at Sine Die adjournment.",8567,1318,TRUE,"machine learning, artificial intelligence, or any other computer-generated or technological means, including without limitation by adapting, modifying, manipulating, or altering an authentic visual depiction, to appear to a reasonable person to be indistinguishable from an authentic visual depiction of the individual, regardless of whether the visual depiction indicates, through a label or some other form of information published with the visual depiction, that the visual depiction is not authentic;",147.03,3.7,1675,53.5,2025,Republican
Arkansas,AR,AR H    1876,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1876&ciq=urn:user:PA196471263&client_md=a7f73f3325742058a28d597e05e60d43&mode=current_text,Model Training and Content Generated by Generative AI,Richardson S (R),Republican,"Private Sector Use, Provenance",Enacted - Act No.  927,04/21/2025 - Enacted,2025-03,"Relates to the ownership of model training and content generated by a generative artificial intelligence tool, provides that, with certain exceptions, when a person uses a generative artificial intelligence tool to generate content, the person who provides the input or directive to the generative artificial intelligence tool shall be the owner of the generated content, provided that the content does not infringe on existing copyrights or intellectual property rights.","03/20/2025 - INTRODUCED.
03/20/2025 - To HOUSE Committee on ADVANCED COMMUNICATIONS AND INFORMATION TECHNOLOGY.
04/02/2025 - Withdrawn from HOUSE Committee on ADVANCED COMMUNICATIONS AND INFORMATION TECHNOLOGY.
04/02/2025 - Amended on HOUSE floor.
04/03/2025 - Rereferred to HOUSE Committee on ADVANCED COMMUNICATIONS AND INFORMATION TECHNOLOGY.
04/03/2025 - From HOUSE Committee on ADVANCED COMMUNICATIONS AND INFORMATION TECHNOLOGY: Do pass.
04/07/2025 - Amended on HOUSE floor.
04/08/2025 - Passed HOUSE.  *****To SENATE.
04/08/2025 - To SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
04/14/2025 - From SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS:  Do pass.
04/15/2025 - Passed SENATE.
04/16/2025 - *****To GOVERNOR.
04/21/2025 - Signed by GOVERNOR.
04/21/2025 - Act No. 927",1778,280,FALSE,NA,147.03,3.7,1675,53.5,2025,Republican
Arkansas,AR,AR H    1877,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1877&ciq=urn:user:PA196471263&client_md=d93d8aefead758d4ea099e5944e64523&mode=current_text,Criminal Offenses,Meeks S (R),Republican,"Child Pornography, Criminal Use",Enacted - Act No.  977,04/22/2025 - Enacted,2025-03,"Concerns criminal offenses related to possession of sexually explicit material that depicts a child, includes a computer generated image that is indistinguishable from the image of a child.","03/20/2025 - INTRODUCED.
03/20/2025 - To HOUSE Committee on JUDICIARY.
04/03/2025 - From HOUSE Committee on JUDICIARY:  Do pass as amended.
04/07/2025 - Committee amendment adopted on HOUSE floor.
04/08/2025 - Passed HOUSE.  *****To SENATE.
04/08/2025 - To SENATE Committee on JUDICIARY.
04/09/2025 - From SENATE Committee on JUDICIARY:  Do pass as amended.
04/09/2025 - Committee amendment adopted on SENATE floor.
04/10/2025 - Passed SENATE.  *****To HOUSE for concurrence.
04/10/2025 - To JOINT Committee on BUDGET.
04/15/2025 - From JOINT Committee on BUDGET:  Do pass.
04/16/2025 - HOUSE concurred in SENATE amendments.
04/16/2025 - *****To GOVERNOR.
04/22/2025 - Signed by GOVERNOR.
04/22/2025 - Act No. 977",9453,1440,TRUE,Artificial intelligence;,147.03,3.7,1675,53.5,2025,Republican
Arkansas,AR,AR H    1958,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000H1958&ciq=urn:user:PA196471263&client_md=dbb0caba4b622d999394c2d550a9b395&mode=current_text,Public Entities to Create a Policy,Meeks S (R),Republican,Government Use,Enacted - Act No.  848,04/17/2025 - Enacted,2025-04,Requires public entities to create a policy concerning the authorized use of artificial intelligence.,"04/01/2025 - INTRODUCED.
04/01/2025 - To HOUSE Committee on ADVANCED COMMUNICATIONS AND INFORMATION TECHNOLOGY.
04/03/2025 - From HOUSE Committee on ADVANCED COMMUNICATIONS AND INFORMATION TECHNOLOGY: Do pass.
04/07/2025 - Passed HOUSE.  *****To SENATE.
04/07/2025 - To SENATE Committee on STATE AGENCIES AND GOVERNMENTAL AFFAIRS.
04/08/2025 - From SENATE Committee on STATE AGENCIES AND GOVERNMENTAL AFFAIRS:  Do pass as amended.
04/09/2025 - Committee amendment adopted on SENATE floor.
04/10/2025 - Passed SENATE.  *****To HOUSE for concurrence.
04/14/2025 - HOUSE concurred in SENATE amendments.
04/14/2025 - *****To GOVERNOR.
04/17/2025 - Signed by GOVERNOR.
04/17/2025 - Act No. 848",7100,1054,TRUE,"a machine-based system that can, based on a given set of human-defined objectives, make predictions, recommendations, or decisions influencing a real or virtual environment;",147.18,3.7,1458,53.3,2025,Republican
Arkansas,AR,AR S    258,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000S258&ciq=urn:user:PA196471263&client_md=b4f359e2cf01b67bc298df4e24bf21ca&mode=current_text,Digital Responsibility Safety and Trust,Penzo (R),Republican,Private Sector Use,Failed - Died,45754,2025-02,"Creates the Arkansas Digital Responsibility, Safety, and Trust Act, protects Arkansans privacy rights, enforces the rights against those who collect, use, retain, and share their personal information, and establishes the legislative framework for responsible, safe, and trustworthy technology in State.","02/19/2025 - INTRODUCED.
02/19/2025 - To SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
02/27/2025 - Withdrawn from SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
02/27/2025 - Amended on SENATE floor.
02/27/2025 - Rereferred to SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
03/13/2025 - Withdrawn from SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
03/13/2025 - Amended on SENATE floor.
03/13/2025 - Rereferred to SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
04/02/2025 - From SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS:  Do pass as amended.
04/07/2025 - Committee amendment adopted on SENATE floor.
04/08/2025 - Failed to pass SENATE.
04/08/2025 - The vote by which __ failed was expunged.
04/10/2025 - Failed to pass SENATE.
05/05/2025 - Died on Senate Calendar at Sine Die adjournment.",52580,8127,FALSE,NA,146.76,3.6,1029,53.9,2025,Republican
Arkansas,AR,AR S    612,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000S612&ciq=urn:user:PA196471263&client_md=4e0830e5766126f68b0efa7fd5d05cda&mode=current_text,Private Right of Action Against a Social Media Platform,Dees (R),Republican,"Private Sector Use, Private Right of Action",Enacted - Act No.  901,04/21/2025 - Enacted,2025-04,"Creates a private right of action for the use of a design, algorithm, or feature by a social media platform that causes harm, imposes a civil penalty on a platform that knowingly and willfully contributes to the suicide or attempted suicide of a minor, provides that a platform is liable for an award of litigation costs, attorneys fees, and damages in an action brought by a parent or guardian whose child or legal dependent commits suicide or attempts suicide following exposure to certain online content.","04/02/2025 - INTRODUCED.
04/02/2025 - To SENATE Committee on JUDICIARY.
04/07/2025 - From SENATE Committee on JUDICIARY:  Do pass.
04/08/2025 - Passed SENATE.  *****To HOUSE.
04/08/2025 - To HOUSE Committee on JUDICIARY.
04/10/2025 - From HOUSE Committee on JUDICIARY:  Do pass as amended.
04/14/2025 - Committee amendment adopted on HOUSE floor.
04/15/2025 - Passed HOUSE.  *****To SENATE for concurrence.
04/16/2025 - SENATE concurred in HOUSE amendments.
04/16/2025 - *****To GOVERNOR.
04/21/2025 - Signed by GOVERNOR.
04/21/2025 - Act No. 901",5475,850,FALSE,NA,147.18,3.7,1458,53.3,2025,Republican
Arizona,AZ,AZ H    2175,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2175&ciq=urn:user:PA196471263&client_md=c054440eddf689731b3d8af45f2507b5&mode=current_text,Claims and Prior Authorization,Willoughby (R),Republican,"Health Use, Private Sector Use",Enacted - Act No.  165,05/12/2025 - Enacted,2025-01,"Provides that before a health care insurer may deny a claim that was submitted by a provider on the basis of medical necessity, the medical director shall individually review the denial, provides that during each individual review, the medical director shall exercise independent medical judgment and may not rely solely on recommendations from any other source, provides for the review of denials of prior authorizations.","01/14/2025 - INTRODUCED.
01/28/2025 - To HOUSE Committee on COMMERCE.
01/28/2025 - Additionally referred to HOUSE Committee on RULES.
02/04/2025 - From HOUSE Committee on COMMERCE:  Do pass with amendment.
02/10/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
02/17/2025 - To HOUSE Committee of the WHOLE.
02/17/2025 - In HOUSE Committee of the WHOLE.  COMMERCE Committee amendment substituted.
02/17/2025 - In HOUSE Committee of the WHOLE.  Floor Amendment substituted.
02/17/2025 - From HOUSE Committee of the WHOLE.  To third reading.
02/17/2025 - HOUSE Engrossed. Printed.
02/20/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.
02/25/2025 - To SENATE Committee on FINANCE.
02/25/2025 - Additionally referred to SENATE Committee on RULES.
03/17/2025 - From SENATE Committee on FINANCE:  Do pass with amendment. Strike Everything.
03/24/2025 - Held in SENATE Committee on RULES.
03/31/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
04/17/2025 - To SENATE Committee of the WHOLE.
04/17/2025 - In SENATE Committee of the WHOLE.  FINANCE Committee amendment adopted.
04/17/2025 - In SENATE Committee of the WHOLE.  Amended.
04/17/2025 - From SENATE Committee of the WHOLE.  To third reading.
04/17/2025 - SENATE Engrossed. Printed.
04/29/2025 - In SENATE.  Read third time.  Passed SENATE. *****To HOUSE for concurrence.
05/06/2025 - HOUSE concurred in SENATE amendments.
05/06/2025 - In HOUSE. Finally passed.
05/06/2025 - *****To GOVERNOR.
05/12/2025 - Signed by GOVERNOR.
05/12/2025 - Chapter No. 165",1295,209,FALSE,NA,184.86,3.9,3672,170.1,2025,Divided
Arizona,AZ,AZ H    2342,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2342&ciq=urn:user:PA196471263&client_md=e247bfe64b4c0d5261c4d4457485716a&mode=current_text,Blockchain Technology,Martinez (R),Republican,"Government Use, Oversight/Governance, Private Sector Use",Enacted - Act No.  81,04/18/2025 - Enacted,2025-01,"Relates to blockchain technology, provides that a city or town may not prohibit or otherwise restrict an individual from lawfully accessing or using computational power or running a node on blockchain technology in a residence, provides that a county may not prohibit or otherwise restrict an individual from lawfully accessing or using computational power or running a node on blockchain technology in a residence.","01/16/2025 - INTRODUCED.
01/21/2025 - To HOUSE Committee on COMMERCE.
01/21/2025 - Additionally referred to HOUSE Committee on RULES.
02/18/2025 - From HOUSE Committee on COMMERCE:  Do pass with amendment. Strike Everything.
02/24/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
02/27/2025 - To HOUSE Committee of the WHOLE.
02/27/2025 - In HOUSE Committee of the WHOLE.  COMMERCE Committee amendment adopted.
02/27/2025 - From HOUSE Committee of the WHOLE.  To third reading.
02/27/2025 - HOUSE Engrossed. Printed.
03/03/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.
03/10/2025 - To SENATE Committee on REGULATORY AFFAIRS AND GOVERNMENT EFFICIENCY.
03/10/2025 - Additionally referred to SENATE Committee on RULES.
03/19/2025 - From SENATE Committee on REGULATORY AFFAIRS AND GOVERNMENT EFFICIENCY:  Do pass.
03/24/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
03/24/2025 - Withdrawn from SENATE Consent Calendar.
04/10/2025 - In SENATE.  Read third time.  Passed SENATE.
04/14/2025 - *****To GOVERNOR.
04/18/2025 - Signed by GOVERNOR.
04/18/2025 - Chapter No. 81",2299,348,TRUE,"COMPUTATIONAL POWER MEANS THE USE OF COMPUTER HARDWARE AND SOFTWARE TO PROCESS DATA, RUN ALGORITHMS OR PERFORM TASKS REQUIRING SIGNIFICANT COMPUTING RESOURCES, INCLUDING ARTIFICIAL INTELLIGENCE, BLOCKCHAIN, SCIENTIFIC RESEARCH AND CLOUD COMPUTING.",184.86,3.9,3672,170.1,2025,Divided
